rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,dmso_M,raffinose_M,methylcellulose_pct,hsa_pct
1,81.56557576309025,75.38795924003465,12.35523304611121,0.0,3,0.2848,1.81,4.9,,,,
2,81.1252120402211,74.96638273239843,12.317658615645355,0.07812999999999999,4,0.2897,1.81,5.7,0.011,,,
3,80.87663302645934,74.58752892854424,12.578208195830188,0.0,4,0.3016504871608,1.8711897677980938,4.893910280155021,,0.12071834934584293,,
4,80.42806146727465,74.22608247112237,12.403957992304555,0.0,3,0.2848,2.01,5.4,,,,
5,80.3623507267568,74.20115222070679,12.322397012100016,0.14915727272727272,4,0.2911,1.79,5.4,0.021,,,
6,80.29144354132355,74.07929961866583,12.424287845315442,0.0,3,0.3047,1.83,1.4,,,,
7,80.0669508973328,73.89737898360039,12.339143827464824,0.07812999999999999,4,0.2897,2.0,6.3,0.011,,,
8,79.99979643370098,73.84555819609699,12.308476475207993,0.14915727272727272,4,0.2911,1.96,5.9,0.021,,,
9,79.58832063779337,73.4124274907555,12.351786294075739,0.21379209090909088,4,0.2858,1.9,4.6,0.0301,,,
10,79.72910666010814,73.00546594723677,13.447281425742739,0.0,4,0.29639330027147814,1.874824600947498,4.757041298461381,,,0.2884164768901787,
11,78.66085876074,72.45160424675174,12.418509027976514,0.27842690909090906,4,0.2866,1.9,4.5,0.0392,,,
12,78.45516204666242,72.27609922880325,12.358125635718366,0.07812999999999999,4,0.2897,1.63,5.1,0.011,,,
13,78.37086732484671,72.13425434500017,12.473225959693078,0.12074636363636365,4,0.3032,2.1,2.7,0.017,,,
14,78.37920066842305,72.10774085298222,12.542919630881673,0.05611154545454545,4,0.3171,2.11,2.8,0.0079,,,
15,78.23609154192411,71.58759855872854,13.296985966391125,0.0,5,0.2798254950144593,1.678796800918517,5.071388388540058,,,0.25310650118800215,0.24195244236439453
16,78.14608342277803,71.38289549408277,13.526375857390528,0.0,5,0.3086526591216027,2.084678532538348,3.88225196321783,,,0.265247053034347,0.22166243896786836
17,75.49123299936295,69.23174506302482,12.518975872676254,0.0,3,0.23950005801873472,1.6133842572266195,4.286889238250054,,,,
18,75.12242466122431,68.87729684816134,12.490255626125958,0.0,3,0.34763057718036067,1.8725627523738078,6.133157198728154,,,,
19,75.20865292425336,67.8031905066844,14.810924835137918,0.0,3,0.3100974508020324,1.9544869387214712,,,,,1.0354109567052305
20,74.34844398834056,67.28382813322067,14.129231710239788,0.0,4,0.3124691956559516,2.275896892959429,4.48799677580807,,,,0.6887562173248031
